Image,lon,lat
603.jpg,73.85,18.52
604.jpg,73.85,18.52
605.jpg,73.85,18.52
606.jpg,73.85,18.52
607.jpg,73.85,18.52
608.jpg,73.85,18.52
609.jpg,73.85,18.52
61.jpg,73.84201,18.52265
610.jpg,73.85,18.52
611.jpg,73.85,18.52
612.jpg,73.85,18.52
613.jpg,73.85,18.52
614.jpg,73.85,18.52
615.jpg,73.85,18.52
616.jpg,73.85,18.52
617.jpg,73.85,18.52
618.jpg,73.85018,18.52579
619.jpg,73.85018,18.52579
62.jpg,73.84201,18.52265
620.jpg,73.85018,18.52579
621.jpg,73.85018,18.52579
622.jpg,73.85018,18.52579
623.jpg,73.85018,18.52579
624.jpg,73.85034,18.5259
625.jpg,73.85034,18.5259
626.jpg,73.85034,18.5259
627.jpg,73.85091,18.527
628.jpg,73.85091,18.527
629.jpg,73.8503,18.52588
63.jpg,73.84201,18.52265
630.jpg,73.85027,18.52588
631.jpg,73.85029,18.52584
632.jpg,73.85024,18.52585
633.jpg,73.85025,18.52582
634.jpg,73.85024,18.52583
635.jpg,73.84109,18.52012
636.jpg,73.84109,18.52012
637.jpg,73.84109,18.52012
638.jpg,73.84109,18.52012
639.jpg,73.84109,18.52012
64.jpg,73.84201,18.52265
640.jpg,73.84109,18.52012
641.jpg,73.84109,18.52012
642.jpg,73.84109,18.52012
643.jpg,73.84109,18.52012
644.jpg,73.84109,18.52012
645.jpg,73.84109,18.52012
646.jpg,73.84109,18.52012
647.jpg,73.84109,18.52012
648.jpg,73.84109,18.52012
649.jpg,73.84109,18.52012
65.jpg,73.84201,18.52265
650.jpg,73.84109,18.52012
651.jpg,73.84109,18.52012
652.jpg,73.84109,18.52012
653.jpg,73.84109,18.52012
654.jpg,73.84109,18.52012
655.jpg,73.84109,18.52012
656.jpg,73.84109,18.52012
657.jpg,73.84109,18.52012
658.jpg,73.84109,18.52012
659.jpg,73.84109,18.52012
66.jpg,73.84201,18.52265
660.jpg,73.84109,18.52012
661.jpg,73.84109,18.52012
662.jpg,73.84109,18.52012
663.jpg,73.84109,18.52012
664.jpg,73.84109,18.52012
665.jpg,73.84109,18.52012
666.jpg,73.84109,18.52012
667.jpg,73.84109,18.52012
668.jpg,73.84109,18.52012
669.jpg,73.84109,18.52012
67.jpg,73.84201,18.52265
670.jpg,73.84109,18.52012
671.jpg,73.84,18.52
672.jpg,73.84,18.52
673.jpg,73.84,18.52
674.jpg,73.84,18.52
675.jpg,73.84,18.52
676.jpg,73.84,18.52
677.jpg,73.84,18.52
678.jpg,73.84,18.52
679.jpg,73.84,18.52
68.jpg,73.84201,18.52265
680.jpg,73.84621,18.52014
681.jpg,73.84605,18.52019
682.jpg,73.84605,18.52019
683.jpg,73.84605,18.52019
684.jpg,73.84605,18.52019
685.jpg,73.84605,18.52019
686.jpg,73.84,18.51
687.jpg,73.84,18.51
688.jpg,73.84,18.51
689.jpg,73.84,18.51
69.jpg,73.84201,18.52265
690.jpg,73.84,18.51
691.jpg,73.84,18.51
692.jpg,73.84,18.51
693.jpg,73.84,18.51
694.jpg,73.84615,18.52076
695.jpg,73.84615,18.52076
696.jpg,73.84615,18.52076
697.jpg,73.84615,18.52076
698.jpg,73.84615,18.52076
699.jpg,73.84625,18.5207
7.jpg,73.84201,18.52265
70.jpg,73.84201,18.52265
700.jpg,73.85,18.52
701.jpg,73.85,18.52
703.jpg,73.85,18.52
704.jpg,73.85,18.52
705.jpg,73.85,18.52
706.jpg,73.85,18.52
707.jpg,73.85,18.52
708.jpg,73.85,18.52
709.jpg,73.85,18.52
71.jpg,73.84201,18.52265
710.jpg,73.85,18.52
711.jpg,73.85,18.52
712.jpg,73.85,18.52
713.jpg,73.85,18.52
714.jpg,73.85,18.52
715.jpg,73.85,18.52
716.jpg,73.85,18.52
717.jpg,73.85,18.52
718.jpg,73.85201,18.52889
719.jpg,73.85211,18.52614
72.jpg,73.84201,18.52265
720.jpg,73.85128,18.52775
721.jpg,73.85128,18.52775
722.jpg,73.85211,18.52615
723.jpg,73.85128,18.52775
724.jpg,73.85128,18.52775
725.jpg,73.85128,18.52775
726.jpg,73.8522,18.52595
727.jpg,73.84,18.52
728.jpg,73.84,18.52
729.jpg,73.84,18.52
73.jpg,73.84201,18.52265
730.jpg,73.84,18.52
731.jpg,73.84,18.52
732.jpg,73.84,18.52
733.jpg,73.84,18.52
734.jpg,73.84,18.52
735.jpg,73.84,18.52
736.jpg,73.84,18.52
