Image,Latitude,Longitude
563.jpg,18.52546,73.84769
564.jpg,18.52546,73.84769
565.jpg,18.52546,73.84769
566.jpg,18.52546,73.84769
567.jpg,18.52546,73.84769
568.jpg,18.52546,73.84769
569.jpg,18.52546,73.84769
57.jpg,18.52265,73.84201
570.jpg,18.52546,73.84769
571.jpg,18.52546,73.84769
572.jpg,18.52546,73.84769
573.jpg,18.52546,73.84769
574.jpg,18.52546,73.84769
575.jpg,18.52546,73.84769
576.jpg,18.52546,73.84769
577.jpg,18.52546,73.84769
578.jpg,18.52546,73.84769
579.jpg,18.52546,73.84769
58.jpg,18.52265,73.84201
580.jpg,18.52546,73.84769
581.jpg,18.52546,73.84769
582.jpg,18.52546,73.84769
583.jpg,18.52546,73.84769
584.jpg,18.52546,73.84769
585.jpg,18.52546,73.84769
586.jpg,18.52546,73.84769
587.jpg,18.52546,73.84769
588.jpg,18.52546,73.84769
589.jpg,18.52546,73.84769
59.jpg,18.52265,73.84201
590.jpg,18.52546,73.84769
591.jpg,18.52546,73.84769
592.jpg,18.52546,73.84769
593.jpg,18.52546,73.84769
594.jpg,18.52546,73.84769
595.jpg,18.52546,73.84769
596.jpg,18.52546,73.84769
597.jpg,18.52546,73.84769
598.jpg,18.52,73.85
599.jpg,18.52,73.85
6.jpg,18.52265,73.84201
60.jpg,18.52265,73.84201
600.jpg,18.52,73.85
601.jpg,18.52,73.85
602.jpg,18.52,73.85
603.jpg,18.52,73.85
604.jpg,18.52,73.85
605.jpg,18.52,73.85
606.jpg,18.52,73.85
607.jpg,18.52,73.85
608.jpg,18.52,73.85
609.jpg,18.52,73.85
61.jpg,18.52265,73.84201
610.jpg,18.52,73.85
611.jpg,18.52,73.85
612.jpg,18.52,73.85
613.jpg,18.52,73.85
614.jpg,18.52,73.85
615.jpg,18.52,73.85
616.jpg,18.52,73.85
617.jpg,18.52,73.85
618.jpg,18.52579,73.85018
619.jpg,18.52579,73.85018
62.jpg,18.52265,73.84201
620.jpg,18.52579,73.85018
621.jpg,18.52579,73.85018
622.jpg,18.52579,73.85018
623.jpg,18.52579,73.85018
624.jpg,18.5259,73.85034
625.jpg,18.5259,73.85034
626.jpg,18.5259,73.85034
627.jpg,18.527,73.85091
628.jpg,18.527,73.85091
629.jpg,18.52588,73.8503
63.jpg,18.52265,73.84201
630.jpg,18.52588,73.85027
631.jpg,18.52584,73.85029
632.jpg,18.52585,73.85024
633.jpg,18.52582,73.85025
634.jpg,18.52583,73.85024
635.jpg,18.52012,73.84109
636.jpg,18.52012,73.84109
637.jpg,18.52012,73.84109
638.jpg,18.52012,73.84109
639.jpg,18.52012,73.84109
64.jpg,18.52265,73.84201
640.jpg,18.52012,73.84109
641.jpg,18.52012,73.84109
642.jpg,18.52012,73.84109
643.jpg,18.52012,73.84109
644.jpg,18.52012,73.84109
645.jpg,18.52012,73.84109
646.jpg,18.52012,73.84109
647.jpg,18.52012,73.84109
648.jpg,18.52012,73.84109
649.jpg,18.52012,73.84109
65.jpg,18.52265,73.84201
650.jpg,18.52012,73.84109
651.jpg,18.52012,73.84109
652.jpg,18.52012,73.84109
653.jpg,18.52012,73.84109
654.jpg,18.52012,73.84109
655.jpg,18.52012,73.84109
656.jpg,18.52012,73.84109
657.jpg,18.52012,73.84109
658.jpg,18.52012,73.84109
659.jpg,18.52012,73.84109
66.jpg,18.52265,73.84201
660.jpg,18.52012,73.84109
661.jpg,18.52012,73.84109
662.jpg,18.52012,73.84109
663.jpg,18.52012,73.84109
664.jpg,18.52012,73.84109
665.jpg,18.52012,73.84109
666.jpg,18.52012,73.84109
667.jpg,18.52012,73.84109
668.jpg,18.52012,73.84109
669.jpg,18.52012,73.84109
67.jpg,18.52265,73.84201
670.jpg,18.52012,73.84109
671.jpg,18.52,73.84
672.jpg,18.52,73.84
673.jpg,18.52,73.84
674.jpg,18.52,73.84
675.jpg,18.52,73.84
676.jpg,18.52,73.84
677.jpg,18.52,73.84
678.jpg,18.52,73.84
679.jpg,18.52,73.84
68.jpg,18.52265,73.84201
680.jpg,18.52014,73.84621
681.jpg,18.52019,73.84605
682.jpg,18.52019,73.84605
683.jpg,18.52019,73.84605
684.jpg,18.52019,73.84605
685.jpg,18.52019,73.84605
686.jpg,18.51,73.84
687.jpg,18.51,73.84
688.jpg,18.51,73.84
689.jpg,18.51,73.84
69.jpg,18.52265,73.84201
690.jpg,18.51,73.84
691.jpg,18.51,73.84
692.jpg,18.51,73.84
693.jpg,18.51,73.84
694.jpg,18.52076,73.84615
695.jpg,18.52076,73.84615
696.jpg,18.52076,73.84615
697.jpg,18.52076,73.84615
698.jpg,18.52076,73.84615
699.jpg,18.5207,73.84625
7.jpg,18.52265,73.84201
70.jpg,18.52265,73.84201
700.jpg,18.52,73.85
701.jpg,18.52,73.85
703.jpg,18.52,73.85
704.jpg,18.52,73.85
705.jpg,18.52,73.85
706.jpg,18.52,73.85
707.jpg,18.52,73.85
708.jpg,18.52,73.85
709.jpg,18.52,73.85
71.jpg,18.52265,73.84201
710.jpg,18.52,73.85
711.jpg,18.52,73.85
712.jpg,18.52,73.85
713.jpg,18.52,73.85
714.jpg,18.52,73.85
715.jpg,18.52,73.85
716.jpg,18.52,73.85
717.jpg,18.52,73.85
718.jpg,18.52889,73.85201
719.jpg,18.52614,73.85211
72.jpg,18.52265,73.84201
720.jpg,18.52775,73.85128
721.jpg,18.52775,73.85128
722.jpg,18.52615,73.85211
723.jpg,18.52775,73.85128
724.jpg,18.52775,73.85128
725.jpg,18.52775,73.85128
726.jpg,18.52595,73.8522
727.jpg,18.52,73.84
728.jpg,18.52,73.84
729.jpg,18.52,73.84
73.jpg,18.52265,73.84201
730.jpg,18.52,73.84
731.jpg,18.52,73.84
732.jpg,18.52,73.84
733.jpg,18.52,73.84
734.jpg,18.52,73.84
735.jpg,18.52,73.84
736.jpg,18.52,73.84
737.jpg,18.52,73.84
738.jpg,18.52,73.84
739.jpg,18.52,73.84
74.jpg,18.52265,73.84201
741.jpg,18.52,73.84
742.jpg,18.52,73.84
743.jpg,18.52,73.84
744.jpg,18.52,73.84
745.jpg,18.52,73.84
746.jpg,18.52,73.84
747.jpg,18.52,73.84
748.jpg,18.52,73.84
749.jpg,18.52,73.84
75.jpg,18.52265,73.84201
750.jpg,18.52532,73.84979
751.jpg,18.5286,73.85275
752.jpg,18.5286,73.85275
753.jpg,18.5286,73.85275
754.jpg,18.52544,73.84994
755.jpg,18.52536,73.84991
756.jpg,18.52536,73.84991
757.jpg,18.52536,73.84991
758.jpg,18.52536,73.84991
759.jpg,18.52536,73.84991
76.jpg,18.52265,73.84201
760.jpg,18.52541,73.85006
761.jpg,18.52541,73.85006
762.jpg,18.525,73.84871
763.jpg,18.525,73.84871
764.jpg,18.52535,73.84979
765.jpg,18.52545,73.8497
766.jpg,18.52096,73.84113
767.jpg,18.52096,73.84113
768.jpg,18.52096,73.84113
769.jpg,18.52096,73.84113
77.jpg,18.52265,73.84201
770.jpg,18.52096,73.84113
771.jpg,18.52096,73.84113
772.jpg,18.52096,73.84113
773.jpg,18.52096,73.84113
774.jpg,18.52096,73.84113
775.jpg,18.52096,73.84113
776.jpg,18.52096,73.84113
777.jpg,18.52096,73.84113
778.jpg,18.52096,73.84113
779.jpg,18.52096,73.84113
78.jpg,18.52265,73.84201
780.jpg,18.52096,73.84113
781.jpg,18.52096,73.84113
782.jpg,18.52096,73.84113
783.jpg,18.52096,73.84113
784.jpg,18.52096,73.84113
785.jpg,18.52096,73.84113
786.jpg,18.52096,73.84113
787.jpg,18.52096,73.84113
788.jpg,18.52096,73.84113
789.jpg,18.52096,73.84113
